"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
567,2.1260786,567,0.00283039,627.296820514569,,
568,2.1229532,568,0.002827045,625.452380518856,,
569,2.1200805,569,0.002816449,622.0130395508132,,
570,2.1172078,570,0.002805853,618.5857664458163,,
571,2.1143353,571,0.002795256,615.170277723488,,
572,2.1116178,572,0.002778536,610.4215584150189,,
573,2.1090171,573,0.002757195,604.675989983561,,
574,2.1064167,574,0.002735855,598.9506598806205,,
575,2.103816,575,0.002714514,593.2450254237665,,
576,2.1013832,576,0.002686255,586.0499287270035,,
577,2.098982,577,0.002656677,578.5925092659252,,
578,2.096581,578,0.002627099,571.1608940244355,,
579,2.0941877,579,0.002597252,563.6965666819618,,
580,2.0919423,580,0.002562291,555.1499711696031,,
581,2.089697,581,0.00252733,546.632795951607,,
582,2.0874515,582,0.002492369,538.1448893769718,,
583,2.0852418,583,0.002456899,529.576387582306,,
584,2.0831597,584,0.002419624,520.6488344417501,,
585,2.0810773,585,0.002382349,511.75180285039255,,
586,2.0789952,586,0.002345074,502.8851365545687,,
587,2.0769534,587,0.002307731,494.03412307062536,,
588,2.074994,588,0.00227025,485.1837225722604,,
589,2.0730348,589,0.002232769,476.36337436760806,,
590,2.0710757,590,0.002195289,467.5731386377277,,
591,2.069168,591,0.002158484,458.9561744359466,,
592,2.0673387,592,0.002122695,450.5839876899856,,
593,2.065509,593,0.002086905,442.23982574973405,,
594,2.0636795,594,0.002051116,433.92397018589105,,
595,2.0618913,595,0.002016465,425.8764121156936,,
596,2.060163,596,0.001983453,418.20143446581454,,
597,2.0584345,597,0.00195044,410.55195814188784,,
598,2.0567062,598,0.001917428,402.928275490794,,
599,2.055003,599,0.001885649,395.58871757255025,,
600,2.0533445,600,0.001856064,388.7331351328324,,
601,2.0516858,601,0.001826479,381.90036661138316,,
602,2.0500274,602,0.001796893,375.090089573882,,
603,2.0484,603,0.001768294,368.5080888747535,,
604,2.0468616,604,0.0017425,362.5314701245175,,
