"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
485,0.0461,485,2.663,689984.431877082,,
486,0.0461,486,2.6725,691021.1001414586,,
487,0.0461,487,2.6819,692027.7074055414,,
488,0.046,488,2.6913,693030.1892300172,,
489,0.046,489,2.7007,694028.5709243317,,
490,0.046,490,2.7101,695022.8775913224,,
491,0.046,491,2.7195,696013.1341293233,,
492,0.046,492,2.7288,696973.8238305552,,
493,0.0461,493,2.7381,697930.6162104838,,
494,0.0461,494,2.7475,698908.9729342476,,
495,0.0461,495,2.7568,699857.99009425,,
496,0.0461,496,2.7661,700803.1805721554,,
497,0.0461,497,2.7753,701719.2830187328,,
498,0.0461,498,2.7846,702656.9400149509,,
499,0.0461,499,2.7938,703565.655759452,,
500,0.0461,500,2.8031,704495.869382204,,
501,0.0462,501,2.8123,705397.2870012434,,
502,0.0462,502,2.8215,706295.113315028,,
503,0.0462,503,2.8306,707164.3868987093,,
504,0.0462,504,2.8398,708055.144259071,,
505,0.0463,505,2.849,708942.3738675106,,
506,0.0463,506,2.8581,709801.2619150188,,
507,0.0463,507,2.8672,710656.7618439965,,
508,0.0464,508,2.8763,711508.8936630177,,
509,0.0464,509,2.8854,712357.6772234178,,
510,0.0464,510,2.8945,713203.1322208358,,
511,0.0465,511,2.9036,714045.2781967378,,
512,0.0465,512,2.9127,714884.1345399211,,
513,0.0466,513,2.9217,715695.2246388537,,
514,0.0466,514,2.9307,716503.1587451834,,
515,0.0467,515,2.9398,717332.3559629727,,
516,0.0467,516,2.9488,718133.9858066343,,
517,0.0467,517,2.9578,718932.5145677285,,
518,0.0468,518,2.9667,719703.7008034625,,
519,0.0468,519,2.9757,720496.1278834025,,
520,0.0469,520,2.9847,721285.5071668812,,
521,0.047,521,2.9936,722047.7364903189,,
522,0.047,522,3.0026,722831.1189018172,,
523,0.0471,523,3.0115,723587.478109802,,
524,0.0471,524,3.0204,724340.950450581,,
525,0.0472,525,3.0293,725091.552420538,,
526,0.0472,526,3.0382,725839.3003906091,,
527,0.0473,527,3.0471,726584.2106074732,,
528,0.0474,528,3.0559,727302.4992503825,,
529,0.0474,529,3.0648,728041.8272001512,,
530,0.0475,530,3.0736,728754.6550998933,,
531,0.0476,531,3.0825,729488.4636301724,,
532,0.0476,532,3.0913,730195.8924843705,,
533,0.0477,533,3.1001,730900.6668212921,,
534,0.0478,534,3.1089,731602.8015539558,,
535,0.0478,535,3.1177,732302.3114838803,,
536,0.0479,536,3.1265,732999.2113021262,,
537,0.048,537,3.1353,733693.5155903224,,
538,0.0481,538,3.144,734361.8812554877,,
539,0.0481,539,3.1528,735051.0811308274,,
540,0.0482,540,3.1615,735714.4573573432,,
541,0.0483,541,3.1702,736375.3811763668,,
542,0.0484,542,3.179,737057.0513477455,,
543,0.0485,543,3.1877,737713.0682761094,,
544,0.0485,544,3.1964,738366.6733775306,,
545,0.0486,545,3.2051,739017.8799281208,,
546,0.0487,546,3.2138,739666.701106731,,
547,0.0488,547,3.2224,740290.1767406033,,
548,0.0489,548,3.2311,740934.3082491957,,
549,0.049,549,3.2398,741576.0931949152,,
550,0.049,550,3.2484,742192.6964306243,,
551,0.0491,551,3.2571,742829.8680223096,,
552,0.0492,552,3.2657,743441.965857115,,
553,0.0493,553,3.2743,744051.8499565325,,
554,0.0494,554,3.2829,744659.5323082984,,
555,0.0495,555,3.2915,745265.0248137517,,
556,0.0496,556,3.3001,745868.3392886099,,
557,0.0497,557,3.3087,746469.4874637378,,
558,0.0498,558,3.3173,747068.4809859084,,
559,0.0499,559,3.3259,747665.3314185541,,
560,0.05,560,3.3344,748237.6102949862,,
561,0.0501,561,3.343,748830.2489091394,,
562,0.0502,562,3.3515,749398.4183990172,,
563,0.0503,563,3.3601,749986.8898989032,,
564,0.0504,564,3.3686,750550.9938214594,,
565,0.0505,565,3.3771,751113.100915971,,
566,0.0506,566,3.3857,751695.4238345557,,
567,0.0507,567,3.3942,752253.5297929085,,
568,0.0508,568,3.4027,752809.6705894358,,
569,0.0509,569,3.4112,753363.8565852726,,
570,0.051,570,3.4196,753894.0518046075,,
571,0.0511,571,3.4281,754444.3976021835,,
572,0.0512,572,3.4366,754992.8191137541,,
573,0.0513,573,3.4451,755539.326414115,,
574,0.0514,574,3.4535,756062.036876122,,
575,0.0515,575,3.462,756604.7837723732,,
576,0.0516,576,3.4704,757123.8295151403,,
577,0.0517,577,3.4789,757662.8549444389,,
578,0.0518,578,3.4873,758178.2741082135,,
579,0.052,579,3.4957,758691.9128949111,,
580,0.0521,580,3.5041,759203.780513379,,
581,0.0522,581,3.5125,759713.8861090636,,
582,0.0523,582,3.5209,760222.2387645569,,
583,0.0524,583,3.5293,760728.8475001344,,
584,0.0525,584,3.5377,761233.7212742885,,
585,0.0526,585,3.5461,761736.8689842575,,
586,0.0527,586,3.5545,762238.2994665474,,
587,0.0529,587,3.5628,762716.613711054,,
588,0.053,588,3.5712,763214.6724149572,,
589,0.0531,589,3.5796,763711.0399178285,,
590,0.0532,590,3.5879,764184.4258857504,,
591,0.0533,591,3.5962,764656.2098707014,,
592,0.0535,592,3.6046,765147.6269682277,,
593,0.0536,593,3.6129,765616.1954910329,,
594,0.0537,594,3.6212,766083.1863420444,,
595,0.0538,595,3.6296,766569.7274265218,,
596,0.0539,596,3.6379,767033.551308343,,
597,0.0541,597,3.6462,767495.8213413135,,
598,0.0542,598,3.6545,767956.5453206622,,
599,0.0543,599,3.6628,768415.7309895621,,
600,0.0544,600,3.6711,768873.3860395661,,
601,0.0546,601,3.6793,769308.6090085142,,
602,0.0547,602,3.6876,769763.2604237689,,
603,0.0548,603,3.6959,770216.4038741306,,
604,0.0549,604,3.7042,770668.0468494908,,
605,0.0551,605,3.7124,771097.4259297024,,
606,0.0552,606,3.7207,771546.1245024122,,
607,0.0553,607,3.7289,771972.6422386147,,
608,0.0554,608,3.7372,772418.4253286695,,
609,0.0556,609,3.7454,772842.1100003424,,
610,0.0557,610,3.7536,773264.4055419441,,
611,0.0558,611,3.7619,773705.88566543,,
612,0.056,612,3.7701,774125.3897580967,,
613,0.0561,613,3.7783,774543.5251587809,,
614,0.0562,614,3.7865,774960.2985549023,,
615,0.0564,615,3.7947,775375.7165903863,,
616,0.0565,616,3.8029,775789.7858660147,,
617,0.0566,617,3.8111,776202.5129397771,,
618,0.0568,618,3.8193,776613.9043272167,,
619,0.0569,619,3.8275,777023.9665017728,,
620,0.057,620,3.8357,777432.7058951206,,
621,0.0572,621,3.8438,777819.8931960353,,
622,0.0573,622,3.852,778226.038689896,,
623,0.0574,623,3.8602,778630.8803458953,,
624,0.0576,624,3.8683,779014.2860180383,,
625,0.0577,625,3.8765,779416.5709850133,,
