"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
1305,1.99127,1305,0.00424,408.2866774320528,,
1310,1.99097,1310,0.00429,411.52465599695313,,
1315,1.99068,1315,0.00434,414.73801115071336,,
1320,1.99039,1320,0.00439,417.927022704824,,
1325,1.99009,1325,0.00444,421.09196624720556,,
1330,1.9898,1330,0.00449,424.2331132215991,,
1335,1.98951,1335,0.00454,427.3507310051734,,
1340,1.98922,1340,0.00459,430.44508298439257,,
1345,1.98893,1345,0.00464,433.5164286291938,,
1350,1.98864,1350,0.00469,436.56502356551493,,
1355,1.98835,1355,0.00474,439.59111964621763,,
1360,1.98807,1360,0.0048,443.51896285973544,,
1365,1.98778,1365,0.00485,446.4974174332747,,
1370,1.98749,1370,0.0049,449.45413146248137,,
1375,1.98721,1375,0.00495,452.3893421169303,,
1380,1.98692,1380,0.00501,456.2138896952135,,
1385,1.98664,1385,0.00506,459.10350403362753,,
1390,1.98636,1390,0.00512,462.876385219561,,
1395,1.98607,1395,0.00517,465.7214055644224,,
1400,1.98579,1400,0.00523,469.4437022364177,,
1405,1.98551,1405,0.00528,472.24510209122013,,
1410,1.98523,1410,0.00534,475.91786582041124,,
1415,1.98495,1415,0.00539,478.6765908932575,,
1420,1.98467,1420,0.00545,482.3008440018134,,
1425,1.98439,1425,0.00551,485.89966375522135,,
1430,1.98411,1430,0.00556,488.5945497610979,,
1435,1.98383,1435,0.00562,492.1463613428471,,
1440,1.98356,1440,0.00568,495.67350756638956,,
1445,1.98328,1445,0.00574,499.1762444735063,,
1450,1.983,1450,0.0058,502.65482457436684,,
1455,1.98273,1455,0.00586,506.1094969082114,,
1460,1.98245,1460,0.00592,509.5405071027829,,
1465,1.98217,1465,0.00598,512.9480974325451,,
1470,1.9819,1470,0.00604,516.3325068757102,,
1475,1.98162,1475,0.0061,519.6939711701082,,
1480,1.98135,1480,0.00616,523.0327228679223,,
1485,1.98107,1485,0.00622,526.3489913893202,,
1490,1.9808,1490,0.00628,529.6430030750041,,
1495,1.98053,1495,0.00635,533.7555411450217,,
1500,1.98025,1500,0.00641,537.0029042536153,,
1505,1.97998,1505,0.00647,540.2286901986967,,
1510,1.97971,1510,0.00654,544.2653232974106,,
1515,1.97944,1515,0.0066,547.4458485463402,,
1520,1.97917,1520,0.00666,550.6054492870534,,
1525,1.97889,1525,0.00673,554.5683556369654,,
1530,1.97862,1530,0.00679,557.6840292254823,,
1535,1.97835,1535,0.00686,561.5980613322731,,
1540,1.97808,1540,0.00693,565.4866776461628,,
1545,1.97781,1545,0.00699,568.5367676011043,,
1550,1.97754,1550,0.00706,572.3779131443598,,
1555,1.97727,1555,0.00713,576.1943567870155,,
1560,1.977,1560,0.0072,579.9863360473464,,
1565,1.97673,1565,0.00726,582.9511224296972,,
1570,1.97646,1570,0.00733,586.6974305939665,,
1575,1.97619,1575,0.0074,590.4199526746534,,
1580,1.97592,1580,0.00747,594.1189144890064,,
1585,1.97565,1585,0.00754,597.7945390048465,,
1590,1.97538,1590,0.00761,601.4470463853667,,
1595,1.97511,1595,0.00768,605.0766540330937,,
1600,1.97484,1600,0.00775,608.6835766330224,,
1605,1.97458,1605,0.00782,612.2680261949454,,
1610,1.97431,1610,0.00789,615.830212094993,,
1615,1.97404,1615,0.00797,620.1484445600161,,
1620,1.97377,1620,0.00804,623.6643193793071,,
1625,1.9735,1625,0.00811,627.1585580458639,,
1630,1.97323,1630,0.00819,631.4023026478627,,
1635,1.97297,1635,0.00826,634.851506266708,,
1640,1.9727,1640,0.00834,639.0459202668018,,
1645,1.97243,1645,0.00841,642.4509232021925,,
1650,1.97216,1650,0.00849,646.5968879752083,,
1655,1.97189,1655,0.00856,649.9585042834715,,
1660,1.97163,1660,0.00864,654.0568801690557,,
1665,1.97136,1665,0.00872,658.1306411844565,,
1670,1.97109,1670,0.00879,661.4275311390247,,
1675,1.97082,1675,0.00887,665.4549692499454,,
1680,1.97056,1680,0.00895,669.4584345149678,,
1685,1.97029,1685,0.00903,673.4381403422155,,
1690,1.97002,1690,0.0091,676.6507253885709,,
1695,1.96975,1695,0.00918,680.5857359281251,,
1700,1.96949,1700,0.00926,684.4975993468585,,
1705,1.96922,1705,0.00934,688.38651928513,,
1710,1.96895,1710,0.00942,692.2526970015404,,
1715,1.96869,1715,0.0095,696.096331407651,,
1720,1.96842,1720,0.00959,700.6482220447934,,
1725,1.96815,1725,0.00967,704.44523965712,,
1730,1.96788,1730,0.00975,708.2203091907626,,
1735,1.96761,1735,0.00983,711.973620398563,,
1740,1.96735,1740,0.00992,716.4275660600172,,
1745,1.96708,1745,0.01,720.1358518257407,,
1750,1.96681,1750,0.01009,724.5410257079088,,
1755,1.96654,1755,0.01017,728.2050663705572,,
1760,1.96628,1760,0.01026,732.5622869507109,,
1765,1.96601,1765,0.01034,736.1828450565092,,
1770,1.96574,1770,0.01043,740.4929124732552,,
1775,1.96547,1775,0.01051,744.0707332783938,,
1780,1.96521,1780,0.0106,748.3344298438609,,
1785,1.96494,1785,0.01069,752.574240154059,,
1790,1.96467,1790,0.01077,756.0883324952418,,
1795,1.9644,1795,0.01086,760.2829240776636,,
1800,1.96413,1800,0.01095,764.4542123735164,,
1805,1.96387,1805,0.01104,768.602391038921,,
